id;att_org_id;name;reg_num;factory_num;fac_ids;si_err
29;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;9;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
40;0;Измеритель параметров электрического и магнитного полей трехкомпонентный В/Е-МЕТР-АТ-003;42464-09;150513;9;±15%
41;0;Измеритель параметров электрического и магнитного полей трехкомпонентный В/Е-МЕТР-АТ-003;42464-09;177914;9;±15%
42;0;Измеритель параметров электрического и магнитного полей трехкомпонентный В/Е-МЕТР-АТ-003;42464-09;142913;9;±15 %
43;0;Измеритель напряженности электростатического поля СТ-01;17400-98;231813;9;±15%
44;0;Измеритель напряженности электростатического поля СТ-01;17400-98;227113;9;±15%
125;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;9;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
140;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;9;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
176;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;9;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
191;0;Термоанемометр ТТМ-2-04;44377-10;2852;9;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
15;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;10;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
30;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;10;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
81;0;Дозиметр ДКГ-07Д («ДРОЗД»);27537-04;7890;10;±15
126;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;10;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
141;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;10;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
177;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;10;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
192;0;Термоанемометр ТТМ-2-04;44377-10;2852;10;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
1;0;Прибор комбинированный «ТКА-ПКМ» (63);24248-09;63 244;11;±8%
3;0;Прибор комбинированный «ТКА-ПКМ» (61);24248-09;61 243;11;±8%
5;0;Прибор комбинированный «ТКА-ПКМ» (63);24248-09;63 245;11;±8%
16;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;11;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
31;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;11;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
37;0;Прибор комбинированный «ТКА-ПКМ» (62);24248-09;62 162;11;"Освещенность-±8%; Яркость-±10%;  Коэффициент пульсации-±10%; УФ-излучение: ±5%"
111;0;Прибор комбинированный «ТКА-ПКМ» (12);24248-09;122543;11;"Освещенность-±8%; Яркость-±10%;  Коэффициент пульсации-±10%; УФ-излучение: ±5%"
127;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;11;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
142;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;11;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
178;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;11;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
193;0;Термоанемометр ТТМ-2-04;44377-10;2852;11;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
2;0;Прибор комбинированный «ТКА-ПКМ» (63);24248-09;63 244;12;±8%
4;0;Прибор комбинированный «ТКА-ПКМ» (61);24248-09;61 243;12;±8%
6;0;Прибор комбинированный «ТКА-ПКМ» (63);24248-09;63 245;12;±8%
17;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;12;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
32;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;12;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
38;0;Прибор комбинированный «ТКА-ПКМ» (62);24248-09;62 162;12;"Освещенность-±8%; Яркость-±10%;  Коэффициент пульсации-±10%; УФ-излучение: ±5%"
78;0;Люксметр-пульсметр-яркомер «Эколайт-01»;43795-10;00459-13;12;"освещенность-±8%; яркость- ±10%; пульсация-±10%"
80;0;Прибор комбинированный «ТКА-ПКМ» (09);24248-09;09 700;12;"Освещенность-±8; яркость-±10;пульсация-±10"
103;0;Рулетка измерительная металлическая UM5M;22003-07;91;12;± 0,20 мм
105;0;Рулетка измерительная металлическая UM5M;22003-07;92;12;± 0,20 мм
107;0;Рулетка измерительная металлическая UM5M;22003-07;93;12;± 0,20 мм
112;0;Прибор комбинированный «ТКА-ПКМ» (12);24248-09;122543;12;"Освещенность-±8%; Яркость-±10%;  Коэффициент пульсации-±10%; УФ-излучение: ±5%"
128;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;12;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
143;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;12;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
153;0;Рулетка измерительная металлическая UM5M;22003-07;836;12;± 0,20 мм
162;0;Рулетка измерительная металлическая UM5M;22003-07;837;12;± 0,20 мм
179;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;12;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
194;0;Термоанемометр ТТМ-2-04;44377-10;2852;12;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
18;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;13;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
33;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;13;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
91;0;Динамометр становой ДС-200;23226-02;01308;13;±3%
92;0;Динамометр становой ДС-200;23226-02;01247;13;±3%
93;0;Динамометр становой ДС-200;23226-02;01306;13;±3%
94;0;Угломер с нониусом типа 4 4УМ;2437-13;5227;13;±10'
95;0;Угломер с нониусом типа 4 4УМ;2437-13;5612;13;±10'
96;0;Угломер с нониусом типа 4 4УМ;2437-13;5167;13;±10'
97;0;Секундомер механический СОСпр-2б-2-000;11519-11;9569;13;"±0,6-1,8 сек; класс точности 2"
99;0;Секундомер механический СОСпр-2б-2-000;11519-11;5674;13;"±0,6-1,8 сек; класс точности 2"
101;0;Секундомер механический СОСпр-2б-2-000;11519-11;9595;13;"±0,6-1,8 сек; класс точности 2"
104;0;Рулетка измерительная металлическая UM5M;22003-07;91;13;± 0,20 мм
106;0;Рулетка измерительная металлическая UM5M;22003-07;92;13;± 0,20 мм
108;0;Рулетка измерительная металлическая UM5M;22003-07;93;13;± 0,20 мм
129;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;13;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
144;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;13;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
154;0;Рулетка измерительная металлическая UM5M;22003-07;836;13;± 0,20 мм
155;0;Угломер с нониусом типа 4;2437-13;32163;13;±10'
156;0;Динамометр становой ДС-200;23226-02;1294;13;±3%
157;0;Секундомер механический СОСпр-2б-2-010;11519-11;4815;13;"±0,6-1,8 сек; класс точности 2"
160;0;Динамометр становой ДС-200;23226-02;1307;13;±3%
161;0;Угломер с нониусом типа 4 4УМ;2437-13;32168;13;±10'
163;0;Рулетка измерительная металлическая UM5M;22003-07;837;13;± 0,20 мм
164;0;Секундомер механический СОСпр-2б-2-000;11519-11;9369;13;"±0,6-1,8 сек; класс точности 2"
180;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;13;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
195;0;Термоанемометр ТТМ-2-04;44377-10;2852;13;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
19;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;14;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
34;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;14;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
79;0;Люксметр-пульсметр-яркомер «Эколайт-01»;43795-10;00459-13;14;"освещенность-±8%; яркость- ±10%; пульсация-±10%"
98;0;Секундомер механический СОСпр-2б-2-000;11519-11;9569;14;"±0,6-1,8 сек; класс точности 2"
100;0;Секундомер механический СОСпр-2б-2-000;11519-11;5674;14;"±0,6-1,8 сек; класс точности 2"
102;0;Секундомер механический СОСпр-2б-2-000;11519-11;9595;14;"±0,6-1,8 сек; класс точности 2"
130;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;14;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
145;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;14;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
158;0;Секундомер механический СОСпр-2б-2-010;11519-11;4815;14;"±0,6-1,8 сек; класс точности 2"
165;0;Секундомер механический СОСпр-2б-2-000;11519-11;9369;14;"±0,6-1,8 сек; класс точности 2"
181;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;14;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
196;0;Термоанемометр ТТМ-2-04;44377-10;2852;14;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
20;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;26;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
35;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;26;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
39;0;Прибор комбинированный «ТКА-ПКМ» (62);24248-09;62 162;26;"Освещенность-±8%; Яркость-±10%;  Коэффициент пульсации-±10%; УФ-излучение: ±5%"
113;0;Прибор комбинированный «ТКА-ПКМ» (12);24248-09;122543;26;"Освещенность-±8%; Яркость-±10%;  Коэффициент пульсации-±10%; УФ-излучение: ±5%"
131;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;26;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
146;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;26;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
182;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;26;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
197;0;Термоанемометр ТТМ-2-04;44377-10;2852;26;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
21;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;86613;41;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
36;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;93513;41;"Измерение температуры: ±0,20С; измерение относительной влажности: ±3,0%;измерение скорости движения воздуха: ±0,05-0,05V м/с (в диапазоне от 0,1 до 1 м/с), ±0,1+0,05V м/с (в диапазоне от 1 до 20 м/с); измерение ТНС-индекса: ±0,20С"
132;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;346418;41;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
147;0;Измеритель параметров микроклимата «Метеоскоп-М»;32014-11;349218;41;"Температура-±0,2; относительная влажность-±0,3; скорость в диапазоне от0,1 до 1 м/с - ±(0,05+0,05V), скорость в диапазоне от 0,1 до 20м/с - ±(0,1+0,05V); Давление воздуха, кПа - ±0,13 (±1)"
183;0;Измеритель микроклимата «ЭкоТерма-1»;49002-12;130250;41;"Температура: ±0,2?С - ±0,3?С; Влажность ±2,0% - ±3,0%"
198;0;Термоанемометр ТТМ-2-04;44377-10;2852;41;не более ± (0,05 + 0,05V) м/c, где V – измеренная скорость потока, м/c
199;0;"Дозиметр лазерный автоматизированный для контроля уровней импульсного и непрерывного излучения ""ЛАДИН""";16028-03;391;41;"на длине волны 0,63 мкм: ФПУ-1 ± 15%; ФПУ-2 ± 18%; других длинах волн: ФПУ-1 ±20%; ФПУ-2 ±22%"
205;0;Лазерный дозиметр ЛД-07;54480-13;018515;41;"1 в диапазонах длин волн ± 18%; 2 в диапазонах длин волн ± 25%"
